DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
25-Jan-2017,53,4,23,9,37,20,39,8,Lancelot,"ROSE88743002;AQUA80858123,BLUE48877613,GOLD26432268,GREY41981154,JADE25148378,LIME41857375,LIME43733487,NAVY12700099,NAVY60149364,NAVY70216126,PINK14903538,PLUM23514552,PLUM65978339,PLUM79763334,ROSE09939754,ROSE49165286,ROSE72240573,RUBY18952473,RUBY97237327,TEAL19964350",2201
21-Jan-2017,52,37,58,4,40,13,51,5,Merlin,"AQUA50520482;AQUA10777479,AQUA21405316,AQUA77191581,BLUE15408395,BLUE33775236,GOLD44411023,GOLD72179543,GREY22927132,GREY81826129,JADE16523664,LIME50205692,LIME55256132,NAVY35386189,NAVY83954121,PLUM33471119,ROSE96034412,ROSE99405248,RUBY10713608,RUBY32649956,TEAL36536603",2200
18-Jan-2017,28,20,27,53,14,8,45,7,Merlin,"NAVY84726763;AQUA02844548,AQUA69370212,BLUE67265344,GREY31174632,GREY74204578,GREY77754375,JADE73967000,LIME23639656,NAVY09937897,NAVY52081891,PINK06981786,PINK57329251,PINK97915406,PLUM67088212,ROSE50398227,ROSE93683615,ROSE99992468,RUBY16295445,TEAL84210262,TEAL97847465",2199
14-Jan-2017,21,54,36,53,14,19,33,8,Merlin,"TEAL79989213;AQUA48499853,GREY13073034,GREY21342872,GREY29330338,GREY87636999,GREY87949668,LIME72896263,NAVY89934999,PINK32430626,PINK69317465,PLUM67583042,ROSE02374589,ROSE31726303,ROSE94102107,ROSE95027010,RUBY79569396,TEAL16192326,TEAL19335340,TEAL49716936,TEAL70252086",2198
11-Jan-2017,29,35,26,46,21,59,10,6,Merlin,"PLUM02247899;BLUE30479454,GOLD39932251,GREY94545217,JADE86343184,LIME04125153,LIME16193080,LIME52694067,LIME79663685,PLUM16241987,PLUM34504169,PLUM70064342,PLUM71667864,ROSE12445542,ROSE84002691,ROSE91640334,RUBY53858658,RUBY65504730,RUBY76325606,TEAL38290231,TEAL52051711",2197
07-Jan-2017,8,33,45,16,51,36,38,8,Lancelot,"AQUA43511168;AQUA53639885,BLUE11119288,GOLD85813465,GOLD86160536,GREY16763105,GREY35404313,JADE22815610,JADE34858655,JADE61204959,JADE73608094,LIME44636614,LIME77329064,LIME87665613,PINK16556970,PINK40290079,PLUM44955417,RUBY17231778,TEAL16334782,TEAL38541419,TEAL87568817",2196
04-Jan-2017,49,42,10,48,37,29,32,5,Merlin,"BLUE35602452;AQUA20660451,AQUA50128153,AQUA64531190,AQUA74410743,BLUE76064382,BLUE82653948,BLUE88870699,GOLD42820926,JADE69142291,LIME28031307,LIME41998829,LIME67148652,LIME70007256,PINK44336588,PINK57487968,PINK79322129,PLUM47142033,PLUM64052273,PLUM91483509,ROSE44461933",2195
31-Dec-2016,54,41,17,51,10,35,25,7,Merlin,"TEAL40037662;AQUA26713759,AQUA38143362,AQUA51847504,AQUA81845705,AQUA94921623,BLUE12532891,BLUE19632036,BLUE25451531,BLUE44225765,BLUE45720644,BLUE46274667,BLUE46483157,BLUE52652346,BLUE64255275,BLUE67791081,BLUE76384624,GOLD02918776,GOLD15387592,GOLD37387076,GOLD48993696,GOLD55917339,GOLD68830897,GOLD77859794,GOLD92848501,GOLD96620869,GOLD97026787,GOLD99978596,GREY02445835,GREY27852530,GREY37105045,GREY42016041,GREY47556307,GREY52738336,GREY62006830,GREY72424638,GREY72757082,GREY76051837,GREY87041432,GREY93916636,GREY94753485,GREY97497274,GREY98649284,JADE10663819,JADE15227560,JADE23412113,JADE25484618,JADE28378023,JADE46073965,JADE56066377,JADE69479121,JADE74655258,JADE79589147,JADE79636032,JADE94589480,JADE98117462,LIME03493111,LIME06479905,LIME21773808,LIME24765794,LIME27179688,LIME35000003,LIME49569922,LIME59590692,LIME61951077,LIME64282281,LIME74107932,NAVY11575804,NAVY17489528,NAVY81014998,NAVY98428133,PINK12188765,PINK49276400,PINK69910180,PINK76720664,PINK82098833,PLUM16626179,PLUM20255253,PLUM22071570,PLUM22928649,PLUM26557617,PLUM33362227,PLUM36906053,PLUM43482380,PLUM43835295,PLUM57170012,PLUM63601659,PLUM69399364,PLUM70962612,PLUM71792253,PLUM80553602,PLUM87378287,PLUM92654229,ROSE23920218,ROSE53387335,ROSE61667327,ROSE77073453,ROSE78559642,ROSE80310025,ROSE86196317,ROSE87202360,ROSE87529636,ROSE88014496,RUBY05285130,RUBY09604543,RUBY12072927,RUBY15580204,RUBY29205350,RUBY52572776,RUBY56048014,RUBY59465205,RUBY61905930,RUBY66738115,RUBY68048888,RUBY79374656,TEAL01776259,TEAL21315226,TEAL30685749,TEAL30734607,TEAL83130071,TEAL84752371",2194
28-Dec-2016,52,5,47,48,54,40,33,5,Merlin,"ROSE81067545;AQUA26892834,AQUA99817444,GOLD20377327,GOLD42354915,GREY07958616,LIME02501515,LIME90923644,NAVY72864921,NAVY98093421,PINK60687783,PINK72050078,PLUM05859616,PLUM12405102,PLUM77665854,ROSE04529693,ROSE20964451,ROSE51712763,ROSE96766768,RUBY15045304,RUBY66038463",2193
24-Dec-2016,58,16,19,29,54,46,12,8,Merlin,"RUBY19781287;AQUA07727465,AQUA23540590,AQUA31071686,AQUA31357551,AQUA33918826,AQUA53063734,AQUA59051576,AQUA59152430,AQUA68812626,AQUA75677766,AQUA78287085,AQUA82103003,AQUA97419730,BLUE09846244,BLUE21638806,BLUE27571886,BLUE29592532,BLUE48891950,BLUE49628364,BLUE54621331,BLUE55024279,BLUE56178499,BLUE59075105,BLUE74656279,BLUE89732803,BLUE98019049,GOLD00665250,GOLD07083405,GOLD24389221,GOLD29390531,GOLD48709138,GOLD52091817,GOLD53687518,GOLD55006480,GOLD57774131,GOLD61882185,GOLD68878425,GOLD84406731,GOLD91710228,GOLD93776677,GOLD96899524,GOLD97994210,GOLD98622092,GOLD99851877,GREY00317335,GREY01861379,GREY02863154,GREY03014622,GREY15021453,GREY25524413,GREY28212045,GREY28416359,GREY41801295,GREY43892686,GREY66592325,GREY71154272,GREY75336866,GREY78112908,GREY79427935,GREY87230313,GREY87910929,JADE06589795,JADE25794530,JADE28245789,JADE31009469,JADE44314068,JADE45191653,JADE46181114,JADE51855637,JADE52366300,JADE52918632,JADE53523482,JADE60101493,JADE65441293,JADE66159136,JADE69932546,JADE70286605,JADE72866737,JADE73571979,JADE78598877,JADE79979778,JADE81179802,JADE86699640,JADE89436077,JADE89606060,JADE91293706,JADE92899407,JADE97519904,LIME01074060,LIME07074488,LIME27207827,LIME32271519,LIME41837137,LIME46673222,LIME53292563,LIME54217212,LIME57485909,LIME61806281,LIME65049784,LIME65617245,LIME72236067,LIME72328973,LIME72683377,LIME72831080,LIME74155105,LIME76182819,LIME80033685,LIME85560924,LIME86171352,LIME89968240,LIME95923141,NAVY00048481,NAVY15614606,NAVY18488651,NAVY18962092,NAVY22626784,NAVY29862051,NAVY40003776,NAVY40507141,NAVY46007386,NAVY47636781,NAVY51228800,NAVY59115691,NAVY60087824,NAVY66266231,NAVY68487572,NAVY73120705,NAVY96746305,PINK04459923,PINK09432487,PINK28040484,PINK30216947,PINK36735901,PINK45458382,PINK46114500,PINK54067237,PINK56482898,PINK60760587,PINK71537431,PINK77122272,PINK78785634,PINK84693081,PINK87786356,PLUM06400954,PLUM09079378,PLUM09846617,PLUM11216523,PLUM18710547,PLUM20991380,PLUM23063080,PLUM28413139,PLUM28801765,PLUM40142813,PLUM40610456,PLUM44776569,PLUM56691013,PLUM65141649,PLUM70502462,PLUM70729628,PLUM71357583,PLUM78398679,PLUM82947700,PLUM84537691,PLUM85699901,PLUM90492877,PLUM96213184,ROSE15684189,ROSE21665658,ROSE32215297,ROSE32984778,ROSE39013671,ROSE55301380,ROSE58987853,ROSE62076564,ROSE72793828,ROSE75618235,ROSE84111889,ROSE84855067,ROSE92111894,ROSE96519813,RUBY01638430,RUBY04857656,RUBY14224031,RUBY14330101,RUBY20438656,RUBY40324869,RUBY41088305,RUBY59207626,RUBY70988381,RUBY73480527,RUBY79811769,RUBY86107526,RUBY86615422,RUBY87697337,RUBY94552950,TEAL23984959,TEAL26694082,TEAL32372575,TEAL34543151,TEAL44273647,TEAL44708137,TEAL49985825,TEAL50140664,TEAL50458925,TEAL51134919,TEAL53154473,TEAL57944043,TEAL60469565,TEAL61285136,TEAL61939759,TEAL65367732,TEAL69065543,TEAL71831373,TEAL73849342,TEAL77687287,TEAL81488260,TEAL85297239,TEAL92752477,TEAL93485140,TEAL99939520",2192
21-Dec-2016,22,52,13,35,10,42,27,6,Lancelot,"PINK76905693;AQUA29341168,BLUE65124716,BLUE78099867,GOLD59502087,GREY25662715,GREY57728596,GREY67697166,GREY92606218,JADE52423637,JADE87710116,JADE90978852,LIME39021124,LIME46997350,NAVY23647541,PINK60649855,PINK61142189,PLUM38283447,PLUM66388939,PLUM84004480,TEAL81481490",2191
17-Dec-2016,11,32,2,54,18,40,8,7,Merlin,"PLUM23252836;BLUE25935347,BLUE42178881,BLUE66294475,GOLD65330777,GREY05842238,GREY53544883,JADE82333968,JADE99545321,LIME84463983,NAVY34983602,NAVY95340561,PINK10229238,PINK30888753,PINK34241950,PINK38862899,PINK71953672,RUBY00158983,RUBY38137540,RUBY83653987,TEAL37455755",2190
14-Dec-2016,40,58,7,8,3,9,36,8,Merlin,"PINK84989680;AQUA98712752,BLUE48866104,BLUE62559467,GOLD28288010,GREY28337059,JADE52197110,JADE57780835,LIME04051215,LIME09785993,PINK39410649,PINK75750618,PINK83544570,PLUM26666949,PLUM43605494,RUBY26580870,RUBY85500448,RUBY90573913,TEAL23398275,TEAL55506897,TEAL85157474",2189
10-Dec-2016,11,26,32,33,31,46,20,5,Lancelot,"AQUA78800292;AQUA65908056,AQUA76775711,AQUA94974710,BLUE59438129,GOLD06452484,GREY19992612,GREY97365055,JADE05815510,JADE07549838,JADE46748577,PINK49412748,PLUM23331531,ROSE78745267,ROSE80924182,ROSE89494005,RUBY13597917,RUBY16190816,RUBY37279165,RUBY59391507,TEAL29201403",2188
07-Dec-2016,27,44,58,31,16,32,42,6,Lancelot,"LIME21626747;BLUE06151154,BLUE82529497,BLUE94554331,GOLD70634598,GOLD77684673,GREY30067343,GREY45880047,GREY54125585,GREY73606723,JADE39547730,LIME42785996,NAVY84059736,PLUM45044483,PLUM80063108,ROSE39272134,ROSE58877475,ROSE91102823,ROSE95264574,TEAL05182948,TEAL55660184",2187
